,dipole_smiles,G_act_min,G_act_mean,G_act_st_dev,G_r_min,G_r_mean,G_r_std_dev
191,CNC(=O)[C-](C#N)[N+](C)=C(C#N)C(=O)OC,17.62579,23.64017728571429,3.9214301498326107,-32.99106,-18.36597021904762,7.251635864992838
192,N#CC(=[O+][CH-]c1ccccc1)c1ccccc1,1.3563986,10.084916204761907,3.1677426091617606,-51.76357,-37.10551552380954,6.601462992471386
193,C[CH-][NH+]=C(C)C(=O)OC,3.0809982,18.103119485714284,5.740624745146683,-31.9607,-17.541300809523808,5.880719749408762
194,COC(=O)C(C#N)=[N+](C)[CH-]C(C)=O,15.095528,22.89941790476191,3.970004099468487,-27.994425,-14.595347461904764,6.3122746957876625
195,COC(=O)[C-]([NH+]=C(C(C)=O)c1ccccc1)c1ccccc1,16.930239,28.833353105263157,5.445578963546555,-23.044857,-7.499763742105262,6.622456357867365
196,CNC(=O)C(=[O+][N-]C#N)c1ccccc1,6.789505,13.64420669047619,3.356589577245908,-39.533398,-24.073781761904765,7.6938213826257424
197,COC(=O)[CH-][NH+]=CC#N,7.77358,18.801523952380958,3.5533283174654224,-34.102295,-20.768089857142858,5.801769173413325
198,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)OC,29.811468,40.66857621052632,5.969353523462165,-28.134113,-11.044196591052632,7.015093083287215
199,COC(=O)[C-]([NH+]=C(C#N)c1ccccc1)C(C)=O,19.16059,26.654203799999998,4.411196440868355,-23.081154,-8.01435467,6.807500772763053
200,CNC(=O)[CH-][NH+]=C(C)C(=O)NC,3.7173781,19.13974724285714,5.605841593543417,-35.267998,-20.023902380952382,6.213583803030949
201,CNC(=O)[C-]([O+]=C(C(C)=O)C(=O)OC)c1ccccc1,11.420051,18.300330476190478,3.8567347032938577,-48.486755,-30.253828809523807,7.9533054973659505
202,COC(=O)[C-]([O+]=CC#N)C(=O)OC,3.753231,9.850128834782609,6.808387876993149,-61.21261,-43.716337669565206,14.454979516800744
203,CNC(=O)C(=[NH+][N-]c1ccccc1)C(=O)OC,19.437445,27.311855055555554,3.4882299318641197,-20.35204,-6.319814473611111,5.881981315669929
204,COC(=O)[N-][NH+]=CC#N,19.525358,25.38296695238095,2.94153549173469,-25.721426,-12.600724204761903,5.874062448056037
205,CNC(=O)[C-]([O+]=C(C)C)C(=O)NC,6.509553,17.000823826086954,6.873177762062298,-54.01951,-34.78872685217392,13.1902820859176
206,COC(=O)C(=[O+][C-](C#N)C#N)C(=O)OC,3.1923807,8.322027109523809,2.9888271600073946,-56.287506,-41.015373952380955,7.578499687411338
207,N#C[N-][NH+]=Cc1ccccc1,16.097345,23.9213661,3.346854720301135,-16.955956,-4.234487374500001,5.589605143065638
208,CC=[N+](C)[C-](C#N)C#N,15.853015,23.92559652380952,4.090300101526288,-20.67841,-7.674492165238095,5.839255622212164
209,COC(=O)[C-](C)[O+]=C(c1ccccc1)c1ccccc1,7.325325,19.435261571428573,4.248789145095065,-48.81532,-29.02628342857143,8.236354112419182
210,COC(=O)C(=[NH+][N-]C#N)C(C)=O,17.957624,22.45285157142857,3.515747929529769,-21.498405,-6.829196270000001,7.010504684096566
211,COC(=O)C(=[NH+][N-]C(C)=O)C(C)=O,20.112997,24.586944095238096,3.3078488538682653,-25.250326,-9.418962699047619,7.324703613726535
212,CNC(=O)C=[N+](C)[N-]C(=O)NC,14.856214,24.389328476190478,3.8650059885815526,-30.350769,-15.568760785714284,6.311777711910427
213,CNC(=O)[C-]([O+]=C(c1ccccc1)c1ccccc1)C(C)=O,18.16678,26.667138238095244,4.3985657624142895,-38.857533,-20.452706404761905,8.009650958535095
